,carbon_source,flux_minimum,carbon_yield_minimum,mass_yield_minimum,flux_maximum,carbon_yield_maximum,mass_yield_maximum,EX_co2_e,EX_o2_e
118,EX_co2_e,,,,,,,-1.837277676950998,-5.656234406694708
119,EX_co2_e,,,,,,,-1.837277676950998,-5.299999999999998
120,EX_co2_e,,,,,,,-1.7060435571687838,-12.06845372719948
121,EX_co2_e,,,,,,,-1.7060435571687838,-11.71221932050477
122,EX_co2_e,,,,,,,-1.7060435571687838,-11.35598491381006
123,EX_co2_e,,,,,,,-1.7060435571687838,-10.999750507115351
124,EX_co2_e,,,,,,,-1.7060435571687838,-10.64351610042064
125,EX_co2_e,,,,,,,-1.7060435571687838,-10.287281693725932
126,EX_co2_e,,,,,,,-1.7060435571687838,-9.931047287031223
127,EX_co2_e,,,,,,,-1.7060435571687838,-9.574812880336513
128,EX_co2_e,,,,,,,-1.7060435571687838,-9.218578473641802
129,EX_co2_e,0.0,0.0,,0.03571660118352713,25.22846847960431,,-1.7060435571687838,-8.862344066947093
130,EX_co2_e,0.0,0.0,,0.035716601183529643,25.22846847960608,,-1.7060435571687838,-8.506109660252385
131,EX_co2_e,0.0,0.0,,0.03571660118352655,25.228468479603904,,-1.7060435571687838,-8.149875253557674
132,EX_co2_e,0.0,0.0,,0.03571660118352903,25.22846847960565,,-1.7060435571687838,-7.793640846862965
133,EX_co2_e,0.0,0.0,,0.02787304080725625,19.688159235064873,,-1.7060435571687838,-7.437406440168256
134,EX_co2_e,0.0,0.0,,0.015258224546065506,10.777667086438155,,-1.7060435571687838,-7.081172033473546
135,EX_co2_e,,,,,,,-1.7060435571687838,-6.7249376267788366
136,EX_co2_e,,,,,,,-1.7060435571687838,-6.368703220084127
137,EX_co2_e,,,,,,,-1.7060435571687838,-6.012468813389417
138,EX_co2_e,,,,,,,-1.7060435571687838,-5.656234406694708
139,EX_co2_e,,,,,,,-1.7060435571687838,-5.299999999999998
140,EX_co2_e,,,,,,,-1.5748094373865698,-12.06845372719948
141,EX_co2_e,,,,,,,-1.5748094373865698,-11.71221932050477
142,EX_co2_e,,,,,,,-1.5748094373865698,-11.35598491381006
143,EX_co2_e,,,,,,,-1.5748094373865698,-10.999750507115351
144,EX_co2_e,,,,,,,-1.5748094373865698,-10.64351610042064
145,EX_co2_e,,,,,,,-1.5748094373865698,-10.287281693725932
146,EX_co2_e,,,,,,,-1.5748094373865698,-9.931047287031223
147,EX_co2_e,,,,,,,-1.5748094373865698,-9.574812880336513
148,EX_co2_e,0.0,1.7775574248690667e-31,,0.03296917032325919,25.228468479606867,,-1.5748094373865698,-9.218578473641802
149,EX_co2_e,0.0,0.0,,0.03296917032325322,25.228468479602324,,-1.5748094373865698,-8.862344066947093
150,EX_co2_e,0.0,0.0,,0.03296917032325799,25.22846847960595,,-1.5748094373865698,-8.506109660252385
151,EX_co2_e,0.0,0.0,,0.03296917032325838,25.228468479606246,,-1.5748094373865698,-8.149875253557674
152,EX_co2_e,0.0,0.0,,0.032969170323256566,25.228468479604864,,-1.5748094373865698,-7.793640846862965
153,EX_co2_e,0.0,0.0,,0.03118899614551867,23.866254396237846,,-1.5748094373865698,-7.437406440168256
154,EX_co2_e,0.0,0.0,,0.019358919444742644,14.813714880364568,,-1.5748094373865698,-7.081172033473546
155,EX_co2_e,0.0,0.0,,0.004621186276955513,3.536196124544724,,-1.5748094373865698,-6.7249376267788366
156,EX_co2_e,,,,,,,-1.5748094373865698,-6.368703220084127
157,EX_co2_e,,,,,,,-1.5748094373865698,-6.012468813389417
158,EX_co2_e,,,,,,,-1.5748094373865698,-5.656234406694708
159,EX_co2_e,,,,,,,-1.5748094373865698,-5.299999999999998
160,EX_co2_e,,,,,,,-1.4435753176043555,-12.06845372719948
161,EX_co2_e,,,,,,,-1.4435753176043555,-11.71221932050477
162,EX_co2_e,,,,,,,-1.4435753176043555,-11.35598491381006
163,EX_co2_e,,,,,,,-1.4435753176043555,-10.999750507115351
164,EX_co2_e,,,,,,,-1.4435753176043555,-10.64351610042064
165,EX_co2_e,,,,,,,-1.4435753176043555,-10.287281693725932
166,EX_co2_e,,,,,,,-1.4435753176043555,-9.931047287031223
167,EX_co2_e,,,,,,,-1.4435753176043555,-9.574812880336513
168,EX_co2_e,0.0,0.0,,0.030221739462987417,25.22846847960674,,-1.4435753176043555,-9.218578473641802
169,EX_co2_e,0.0,0.0,,0.030221739462986657,25.228468479606114,,-1.4435753176043555,-8.862344066947093
170,EX_co2_e,0.0,0.0,,0.030221739462984735,25.228468479604498,,-1.4435753176043555,-8.506109660252385
171,EX_co2_e,0.0,0.0,,0.030221739462986816,25.228468479606242,,-1.4435753176043555,-8.149875253557674
172,EX_co2_e,0.0,0.0,,0.03022173946298718,25.228468479606537,,-1.4435753176043555,-7.793640846862965
173,EX_co2_e,0.0,0.0,,0.030221739462986067,25.228468479605606,,-1.4435753176043555,-7.437406440168256
174,EX_co2_e,0.0,0.0,,0.022674874783005942,18.928505569399416,,-1.4435753176043555,-7.081172033473546
175,EX_co2_e,0.0,0.0,,0.009362057126892398,7.815247147482861,,-1.4435753176043555,-6.7249376267788366
176,EX_co2_e,,,,,,,-1.4435753176043555,-6.368703220084127
177,EX_co2_e,,,,,,,-1.4435753176043555,-6.012468813389417
178,EX_co2_e,,,,,,,-1.4435753176043555,-5.656234406694708
179,EX_co2_e,,,,,,,-1.4435753176043555,-5.299999999999998
180,EX_co2_e,,,,,,,-1.3123411978221413,-12.06845372719948
181,EX_co2_e,,,,,,,-1.3123411978221413,-11.71221932050477
182,EX_co2_e,,,,,,,-1.3123411978221413,-11.35598491381006
183,EX_co2_e,,,,,,,-1.3123411978221413,-10.999750507115351
184,EX_co2_e,,,,,,,-1.3123411978221413,-10.64351610042064
185,EX_co2_e,,,,,,,-1.3123411978221413,-10.287281693725932
186,EX_co2_e,,,,,,,-1.3123411978221413,-9.931047287031223
187,EX_co2_e,0.0,1.2823088184259643e-28,,0.027474308602712962,25.228468479604103,,-1.3123411978221413,-9.574812880336513
188,EX_co2_e,0.0,0.0,,0.027474308602712917,25.228468479604068,,-1.3123411978221413,-9.218578473641802
189,EX_co2_e,0.0,0.0,,0.02747430860271179,25.22846847960306,,-1.3123411978221413,-8.862344066947093
190,EX_co2_e,0.0,0.0,,0.02747430860271228,25.2284684796035,,-1.3123411978221413,-8.506109660252385
191,EX_co2_e,0.0,0.0,,0.02747430860271448,25.228468479605507,,-1.3123411978221413,-8.149875253557674
192,EX_co2_e,0.0,0.0,,0.02747430860271531,25.22846847960628,,-1.3123411978221413,-7.793640846862965
193,EX_co2_e,0.0,0.0,,0.027474308602714183,25.228468479605237,,-1.3123411978221413,-7.437406440168256
194,EX_co2_e,0.0,0.0,,0.025990830121271704,23.866254396243484,,-1.3123411978221413,-7.081172033473546
195,EX_co2_e,0.0,0.0,,0.014102927976827677,12.950108375007144,,-1.3123411978221413,-6.7249376267788366
196,EX_co2_e,,,,,,,-1.3123411978221413,-6.368703220084127
197,EX_co2_e,,,,,,,-1.3123411978221413,-6.012468813389417
198,EX_co2_e,,,,,,,-1.3123411978221413,-5.656234406694708
199,EX_co2_e,,,,,,,-1.3123411978221413,-5.299999999999998
200,EX_co2_e,,,,,,,-1.1811070780399273,-12.06845372719948
201,EX_co2_e,,,,,,,-1.1811070780399273,-11.71221932050477
202,EX_co2_e,,,,,,,-1.1811070780399273,-11.35598491381006
203,EX_co2_e,,,,,,,-1.1811070780399273,-10.999750507115351
204,EX_co2_e,,,,,,,-1.1811070780399273,-10.64351610042064
205,EX_co2_e,,,,,,,-1.1811070780399273,-10.287281693725932
206,EX_co2_e,0.0,0.0,,0.024726877742441526,25.228468479603965,,-1.1811070780399273,-9.931047287031223
207,EX_co2_e,0.0,0.0,,0.02472687774244382,25.228468479606313,,-1.1811070780399273,-9.574812880336513
208,EX_co2_e,0.0,0.0,,0.02472687774244379,25.22846847960628,,-1.1811070780399273,-9.218578473641802
209,EX_co2_e,0.0,0.0,,0.024726877742443722,25.228468479606214,,-1.1811070780399273,-8.862344066947093
210,EX_co2_e,0.0,0.0,,0.024726877742443257,25.228468479605745,,-1.1811070780399273,-8.506109660252385
211,EX_co2_e,0.0,0.0,,0.024726877742442446,25.228468479604896,,-1.1811070780399273,-8.149875253557674
