,carbon_source,flux_minimum,carbon_yield_minimum,mass_yield_minimum,flux_maximum,carbon_yield_maximum,mass_yield_maximum,EX_h2_e,EX_o2_e
229,EX_co2_e,,,,,,,-38.716984256656325,-22.8731151604102
230,EX_co2_e,,,,,,,-38.716984256656325,-21.11580364436918
231,EX_co2_e,0.0,,,0.019422071436707537,9.374135826356676,,-38.716984256656325,-19.35849212832816
232,EX_co2_e,0.0,9.48166759985275e-14,,0.04018148653785107,9.374135826355706,,-38.716984256656325,-17.601180612287138
233,EX_co2_e,,,,,,,-38.716984256656325,-15.843869096246117
234,EX_co2_e,,,,,,,-38.716984256656325,-14.086557580205099
235,EX_co2_e,,,,,,,-38.716984256656325,-12.329246064164078
236,EX_co2_e,,,,,,,-38.716984256656325,-10.571934548123057
237,EX_co2_e,,,,,,,-38.716984256656325,-8.814623032082036
238,EX_co2_e,,,,,,,-38.716984256656325,-7.057311516041015
239,EX_co2_e,,,,,,,-38.716984256656325,-5.299999999999999
240,EX_co2_e,,,,,,,-35.20236122457429,-38.688918804779384
241,EX_co2_e,,,,,,,-35.20236122457429,-36.93160728873836
242,EX_co2_e,,,,,,,-35.20236122457429,-35.17429577269734
243,EX_co2_e,,,,,,,-35.20236122457429,-33.41698425665632
244,EX_co2_e,,,,,,,-35.20236122457429,-31.659672740615303
245,EX_co2_e,,,,,,,-35.20236122457429,-29.902361224574282
246,EX_co2_e,,,,,,,-35.20236122457429,-28.14504970853326
247,EX_co2_e,,,,,,,-35.20236122457429,-26.387738192492243
248,EX_co2_e,,,,,,,-35.20236122457429,-24.630426676451222
249,EX_co2_e,,,,,,,-35.20236122457429,-22.8731151604102
250,EX_co2_e,,,,,,,-35.20236122457429,-21.11580364436918
251,EX_co2_e,,,,,,,-35.20236122457429,-19.35849212832816
252,EX_co2_e,0.0,1.7007878361873053e-13,,0.02029969319195169,9.374135826356909,,-35.20236122457429,-17.601180612287138
253,EX_co2_e,0.0,1.529110355189387e-20,,0.04105910829309684,9.374135826356325,,-35.20236122457429,-15.843869096246117
254,EX_co2_e,,,,,,,-35.20236122457429,-14.086557580205099
255,EX_co2_e,,,,,,,-35.20236122457429,-12.329246064164078
256,EX_co2_e,,,,,,,-35.20236122457429,-10.571934548123057
257,EX_co2_e,,,,,,,-35.20236122457429,-8.814623032082036
258,EX_co2_e,,,,,,,-35.20236122457429,-7.057311516041015
259,EX_co2_e,,,,,,,-35.20236122457429,-5.299999999999999
260,EX_co2_e,,,,,,,-31.687738192492247,-38.688918804779384
261,EX_co2_e,,,,,,,-31.687738192492247,-36.93160728873836
262,EX_co2_e,,,,,,,-31.687738192492247,-35.17429577269734
263,EX_co2_e,,,,,,,-31.687738192492247,-33.41698425665632
264,EX_co2_e,,,,,,,-31.687738192492247,-31.659672740615303
265,EX_co2_e,,,,,,,-31.687738192492247,-29.902361224574282
266,EX_co2_e,,,,,,,-31.687738192492247,-28.14504970853326
267,EX_co2_e,,,,,,,-31.687738192492247,-26.387738192492243
268,EX_co2_e,,,,,,,-31.687738192492247,-24.630426676451222
269,EX_co2_e,,,,,,,-31.687738192492247,-22.8731151604102
270,EX_co2_e,,,,,,,-31.687738192492247,-21.11580364436918
271,EX_co2_e,,,,,,,-31.687738192492247,-19.35849212832816
272,EX_co2_e,0.0,,,0.00041790008973743837,9.374135826425492,,-31.687738192492247,-17.601180612287138
