,carbon_source,flux_minimum,carbon_yield_minimum,mass_yield_minimum,flux_maximum,carbon_yield_maximum,mass_yield_maximum,EX_co2_e,EX_o2_e
160,EX_co2_e,,,,,,,-1.2299481992261958,-11.552631578947302
161,EX_co2_e,,,,,,,-1.2299481992261958,-11.223545706371128
162,EX_co2_e,,,,,,,-1.2299481992261958,-10.894459833794954
163,EX_co2_e,,,,,,,-1.2299481992261958,-10.56537396121878
164,EX_co2_e,,,,,,,-1.2299481992261958,-10.236288088642606
165,EX_co2_e,,,,,,,-1.2299481992261958,-9.907202216066434
166,EX_co2_e,,,,,,,-1.2299481992261958,-9.578116343490258
167,EX_co2_e,,,,,,,-1.2299481992261958,-9.249030470914086
168,EX_co2_e,0.0,1.2377564825627193e-13,,0.025749383199250932,9.374135826354362,,-1.2299481992261958,-8.919944598337912
169,EX_co2_e,0.0,0.0,,0.02574938319925603,9.374135826356218,,-1.2299481992261958,-8.590858725761738
170,EX_co2_e,0.0,0.0,,0.025749383199257094,9.374135826356612,,-1.2299481992261958,-8.261772853185564
171,EX_co2_e,0.0,0.0,,0.025749383199257094,9.374135826356612,,-1.2299481992261958,-7.93268698060939
172,EX_co2_e,0.0,0.0,,0.025749383199254447,9.37413582635565,,-1.2299481992261958,-7.6036011080332155
173,EX_co2_e,0.0,0.0,,0.025749383199258166,9.374135826356994,,-1.2299481992261958,-7.2745152354570415
174,EX_co2_e,0.0,0.0,,0.025749383199255526,9.374135826356037,,-1.2299481992261958,-6.945429362880868
175,EX_co2_e,0.0,0.0,,0.025749383199254777,9.37413582635577,,-1.2299481992261958,-6.616343490304694
176,EX_co2_e,,,,,,,-1.2299481992261958,-6.28725761772852
177,EX_co2_e,,,,,,,-1.2299481992261958,-5.958171745152346
178,EX_co2_e,,,,,,,-1.2299481992261958,-5.629085872576172
179,EX_co2_e,,,,,,,-1.2299481992261958,-5.299999999999999
180,EX_co2_e,,,,,,,-1.118134726569269,-11.552631578947302
181,EX_co2_e,,,,,,,-1.118134726569269,-11.223545706371128
182,EX_co2_e,,,,,,,-1.118134726569269,-10.894459833794954
183,EX_co2_e,,,,,,,-1.118134726569269,-10.56537396121878
184,EX_co2_e,,,,,,,-1.118134726569269,-10.236288088642606
185,EX_co2_e,,,,,,,-1.118134726569269,-9.907202216066434
186,EX_co2_e,,,,,,,-1.118134726569269,-9.578116343490258
187,EX_co2_e,0.0,2.307449457450885e-28,,0.02340853018113809,9.37413582635472,,-1.118134726569269,-9.249030470914086
188,EX_co2_e,0.0,0.0,,0.023408530181137758,9.374135826354589,,-1.118134726569269,-8.919944598337912
189,EX_co2_e,0.0,0.0,,0.02340853018113808,9.374135826354717,,-1.118134726569269,-8.590858725761738
190,EX_co2_e,0.0,0.0,,0.023408530181138427,9.374135826354857,,-1.118134726569269,-8.261772853185564
