,carbon_source,flux_minimum,carbon_yield_minimum,mass_yield_minimum,flux_maximum,carbon_yield_maximum,mass_yield_maximum,EX_h2_e,EX_o2_e
182,EX_co2_e,,,,,,,-16.036842105263155,-11.35598491381005
183,EX_co2_e,,,,,,,-16.036842105263155,-10.99975050711534
184,EX_co2_e,,,,,,,-16.036842105263155,-10.643516100420632
185,EX_co2_e,,,,,,,-16.036842105263155,-10.287281693725923
186,EX_co2_e,,,,,,,-16.036842105263155,-9.931047287031213
187,EX_co2_e,,,,,,,-16.036842105263155,-9.574812880336504
188,EX_co2_e,,,,,,,-16.036842105263155,-9.218578473641795
189,EX_co2_e,0.0,,,0.0029758310124596192,25.22846847961539,,-16.036842105263155,-8.862344066947086
190,EX_co2_e,0.0,2.524922210410891e-14,,0.0065015390164734526,25.228468479630237,,-16.036842105263155,-8.506109660252378
191,EX_co2_e,0.0,,,0.01002724702047733,25.228468479598643,,-16.036842105263155,-8.149875253557669
192,EX_co2_e,0.0,4.113732062160299e-27,,0.01355295502448693,25.228468479598902,,-16.036842105263155,-7.79364084686296
193,EX_co2_e,0.0,1.951224751628934e-25,,0.01707866302849701,25.228468479599897,,-16.036842105263155,-7.437406440168251
194,EX_co2_e,0.0,0.0,,0.02060437103250835,25.228468479602732,,-16.036842105263155,-7.081172033473542
195,EX_co2_e,0.0,2.2063656747268455e-14,,0.018599815613779866,19.719212324582667,,-16.036842105263155,-6.724937626778833
196,EX_co2_e,0.0,0.0,,0.00044750268673307396,0.4425199640215322,,-16.036842105263155,-6.368703220084124
197,EX_co2_e,,,,,,,-16.036842105263155,-6.0124688133894155
198,EX_co2_e,,,,,,,-16.036842105263155,-5.656234406694707
199,EX_co2_e,,,,,,,-16.036842105263155,-5.299999999999998
200,EX_co2_e,,,,,,,-15.493157894736838,-12.068453727199467
201,EX_co2_e,,,,,,,-15.493157894736838,-11.712219320504758
202,EX_co2_e,,,,,,,-15.493157894736838,-11.35598491381005
203,EX_co2_e,,,,,,,-15.493157894736838,-10.99975050711534
204,EX_co2_e,,,,,,,-15.493157894736838,-10.643516100420632
205,EX_co2_e,,,,,,,-15.493157894736838,-10.287281693725923
206,EX_co2_e,,,,,,,-15.493157894736838,-9.931047287031213
207,EX_co2_e,,,,,,,-15.493157894736838,-9.574812880336504
208,EX_co2_e,,,,,,,-15.493157894736838,-9.218578473641795
209,EX_co2_e,,,,,,,-15.493157894736838,-8.862344066947086
210,EX_co2_e,0.0,,,0.0026782479112250437,25.228468479775213,,-15.493157894736838,-8.506109660252378
211,EX_co2_e,0.0,,,0.0062039559152290225,25.22846847964063,,-15.493157894736838,-8.149875253557669
212,EX_co2_e,0.0,0.5405852639293143,,0.009729663919239675,25.22846847962954,,-15.493157894736838,-7.79364084686296
213,EX_co2_e,0.0,9.989621386326034e-27,,0.013255371923250834,25.22846847962578,,-15.493157894736838,-7.437406440168251
214,EX_co2_e,0.0,0.0,,0.01678107992725951,25.22846847961793,,-15.493157894736838,-7.081172033473542
215,EX_co2_e,0.0,0.0,,0.020306787931269624,25.22846847961559,,-15.493157894736838,-6.724937626778833
216,EX_co2_e,0.0,2.639401355623437e-27,,0.006490440527211468,7.25176841954277,,-15.493157894736838,-6.368703220084124
217,EX_co2_e,,,,,,,-15.493157894736838,-6.0124688133894155
218,EX_co2_e,,,,,,,-15.493157894736838,-5.656234406694707
219,EX_co2_e,,,,,,,-15.493157894736838,-5.299999999999998
220,EX_co2_e,,,,,,,-14.94947368421052,-12.068453727199467
221,EX_co2_e,,,,,,,-14.94947368421052,-11.712219320504758
222,EX_co2_e,,,,,,,-14.94947368421052,-11.35598491381005
223,EX_co2_e,,,,,,,-14.94947368421052,-10.99975050711534
224,EX_co2_e,,,,,,,-14.94947368421052,-10.643516100420632
225,EX_co2_e,,,,,,,-14.94947368421052,-10.287281693725923
226,EX_co2_e,,,,,,,-14.94947368421052,-9.931047287031213
227,EX_co2_e,,,,,,,-14.94947368421052,-9.574812880336504
228,EX_co2_e,,,,,,,-14.94947368421052,-9.218578473641795
229,EX_co2_e,,,,,,,-14.94947368421052,-8.862344066947086
230,EX_co2_e,,,,,,,-14.94947368421052,-8.506109660252378
231,EX_co2_e,0.0,,,0.002380664844689898,25.22846847960527,,-14.94947368421052,-8.149875253557669
232,EX_co2_e,0.0,,,0.005906372813977074,25.228468479604324,,-14.94947368421052,-7.79364084686296
233,EX_co2_e,0.0,3.219852312841292e-26,,0.009432080817986892,25.228468479602995,,-14.94947368421052,-7.437406440168251
234,EX_co2_e,0.0,6.785860349438701e-27,,0.012957788821997078,25.228468479603613,,-14.94947368421052,-7.081172033473542
