,ATPM_flux,GAM_value,Mean_Difference,R2_Score
155,11.099999999999996,20,0.009526964789900455,0.008419919476698068
156,11.099999999999996,30,0.009526964789901794,0.00841991947645404
157,11.099999999999996,40,0.009526964789900444,0.008419919476699844
158,11.099999999999996,50,0.009526964789899398,0.008419919476906568
159,11.099999999999996,60,0.009526964789898392,0.008419919477079207
160,11.099999999999996,70,0.009526964789900845,0.008419919476624904
161,11.099999999999996,80,0.009526964789901211,0.008419919476552962
162,11.099999999999996,90,0.009526964789899943,0.008419919476791105
163,11.099999999999996,100,0.009526964789899582,0.008419919476861382
164,11.099999999999996,110,0.009526964789898777,0.008419919477006266
165,11.099999999999996,120,0.00952696478990313,0.008419919476215343
166,11.099999999999996,130,0.009526964789898736,0.008419919477019144
167,11.099999999999996,140,0.009526964789898335,0.008419919477088755
168,11.199999999999996,10,0.00952696478990069,0.008419919476647886
169,11.199999999999996,20,0.009526964789900628,0.008419919476672977
170,11.199999999999996,30,0.009526964789901702,0.008419919476467141
171,11.199999999999996,40,0.009526964789900443,0.008419919476702065
172,11.199999999999996,50,0.00952696478989938,0.008419919476903903
173,11.199999999999996,60,0.009526964789898461,0.008419919477073323
174,11.199999999999996,70,0.00952696478990084,0.008419919476624016
175,11.199999999999996,80,0.009526964789901223,0.008419919476550741
176,11.199999999999996,90,0.009526964789899945,0.00841991947679055
177,11.199999999999996,100,0.009526964789899582,0.008419919476860938
178,11.199999999999996,110,0.009526964789898788,0.008419919477004711
179,11.199999999999996,120,0.009526964789903001,0.008419919476233995
180,11.199999999999996,130,0.009526964789898746,0.008419919477017923
181,11.199999999999996,140,0.009526964789898335,0.008419919477088422
182,11.299999999999995,10,0.009526964789900715,0.008419919476649218
183,11.299999999999995,20,0.009526964789900904,0.00841991947661036
184,11.299999999999995,30,0.00952696478990172,0.008419919476462923
185,11.299999999999995,40,0.009526964789900411,0.008419919476706395
186,11.299999999999995,50,0.009526964789899397,0.008419919476898352
187,11.299999999999995,60,0.009526964789898429,0.008419919477076654
188,11.299999999999995,70,0.00952696478990083,0.008419919476625792
189,11.299999999999995,80,0.009526964789901216,0.008419919476552518
190,11.299999999999995,90,0.009526964789899946,0.00841991947679066
191,11.299999999999995,100,0.009526964789899565,0.008419919476864157
192,11.299999999999995,110,0.0095269647898988,0.008419919477002713
193,11.299999999999995,120,0.009526964789903202,0.008419919476191584
194,11.299999999999995,130,0.009526964789898756,0.008419919477014592
195,11.299999999999995,140,0.009526964789898291,0.008419919477093862
196,11.399999999999995,10,0.009526964789900703,0.008419919476645332
197,11.399999999999995,20,0.009526964789900626,0.008419919476659099
198,11.399999999999995,30,0.009526964789901704,0.00841991947646581
199,11.399999999999995,40,0.009526964789900439,0.008419919476698401
