id	name	formula	charge	inchikey	smiles	deltag	kegg id	ms id
cpd01107_c0	Decanoate [c0]	C10H19O2	-1	GHVNFZFCNZKVNT-UHFFFAOYSA-M	CCCCCCCCCC(=O)[O-]	-73.79	C01571	cpd01107
cpd15268_c0	Octadecanoyl-ACP [c0]	C29H55N2O8PRS	-2					cpd15268
cpd02465_c0	tetrahydrodipicolinate [c0]	C7H7NO4	-2	CXMBCXQHOXUCEO-BYPYZUCNSA-L	O=C([O-])C1=NC(C(=O)[O-])CCC1	-138.97	C03972	cpd02465
cpd00371_c0	Propanal [c0]	C3H6O	0	NBBJYMSMWIIQGU-UHFFFAOYSA-N	CCC=O	-32.43	C00479	cpd00371
cpd03559_c0	Optal [c0]	C3H8O	0	BDERNNFJNOPAEC-UHFFFAOYSA-N	CCCO	-41.91	C05979	cpd03559
cpd15385_c0	L-alanine-D-glutamate [c0]	C8H13N2O5	-1	VYZAGTDAHUIRQA-CRCLSJGQSA-M	CC(N)C(O)=NC(CCC(=O)[O-])C(=O)O	-194.9		cpd15385
cpd15388_c0	L-alanine-L-glutamate [c0]	C8H13N2O5	-1	VYZAGTDAHUIRQA-WHFBIAKZSA-M	CC(N)C(O)=NC(CCC(=O)[O-])C(=O)O	-194.9		cpd15388
cpd03285_c0	3-Sulfopyruvate [c0]	C3H2O6S	-2	BUTHMSUEBYPMKJ-UHFFFAOYSA-L	O=C([O-])C(=O)CS(=O)(=O)[O-]	-231.172	C05528	cpd03285
cpd00742_c0	Allophanate [c0]	C2H3N2O3	-1	AVWRKZWQTYIKIY-UHFFFAOYSA-M	N=C([O-])NC(=O)O	-127.56	C01010	cpd00742
cpd15677_c0	1,2-diisoheptadecanoyl-sn-glycerol 3-phosphate [c0]	C37H72O8P	-1			-358.6		cpd15677
cpd11573_c0	Octodecanoyl-ACP [c0]	C29H55N2O8PRS	-2					cpd11573
cpd15718_c0	Diisotetradecanoylphosphatidylglycerophosphate [c0]	C34H66O13P2	-2			-635.5		cpd15718
cpd17565_c0	ditrans,dicis-Pentaprenyl diphosphate [c0]	C25H44O7P2	0	JMVSBFJBMXQNJW-PSTDWBAXSA-L	CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP(=O)(O)OP(=O)([O-])[O-]	-326.82	C17435	cpd17565
cpd15324_c0	1-Acyl-sn-glycero-3-phosphoglycerol octadec-11-enoyl [c0]	C24H46O9P	-1			-372.53		cpd15324
cpd15542_c0	Phosphatidylglycerophosphate didodecanoyl [c0]	C30H58O13P2	-2			-638.36		cpd15542
cpd01476_c0	Protoporphyrin [c0]	C34H32N4O4	-2	KSFOVUSSGSKXFI-UJJXFSCMSA-L	C=Cc1c(C)c2cc3[nH]c(cc4nc(cc5[nH]c(cc1n2)c(C)c5CCC(=O)[O-])c(CCC(=O)[O-])c4C)c(C)c3C=C		C02191	cpd01476
cpd11508_c0	10-methyl-3-oxo-dodecanoyl-ACP [c0]	C24H43N2O9PRS	-1					cpd11508
cpd01563_c0	trans-Aconitate [c0]	C6H3O6	-3	GTZCVFVGUGFEME-HNQUOIGGSA-K	O=C([O-])C=C(CC(=O)[O-])C(=O)[O-]	-222.28	C02341	cpd01563
