id	direction	compartment	gpr	name	enzyme	deltag	reference	equation	definition	ms id	bigg id	kegg id	kegg pathways	metacyc pathways
rxn03167_c0	>	Cytosol	(Annotated_genome.CDS.1470 or Annotated_genome.CDS.1853)	2-Amino-4-hydroxy-6-(erythro-1,2,3-trihydroxypropyl) dihydropteridine triphosphate phosphohydrolase (alkaline optimum) [c0]		-15.95		(3)  cpd00001[c0] + (1)  cpd02978[c0] => (3)  cpd00009[c0] + (3)  cpd00067[c0] + (1)  cpd02961[c0]	(3)  H2O [c0][c0] + (1)  7,8-Dihydroneopterin 3'-triphosphate [c0][c0] => (3)  Phosphate [c0][c0] + (3)  H+ [c0][c0] + (1)  Dihydroneopterin [c0][c0]	rxn03167	AKP1	R04620	Folate biosynthesis	
rxn00640_c0	>	Cytosol	Annotated_genome.CDS.3379	GDP:D-mannose-1-phosphate guanylyltransferase [c0]	2.7.7.22	12.03		(1)  cpd00031[c0] + (1)  cpd00485[c0] => (1)  cpd00009[c0] + (1)  cpd00083[c0]	(1)  GDP [c0][c0] + (1)  D-Mannose1-phosphate [c0][c0] => (1)  Phosphate [c0][c0] + (1)  GDP-mannose [c0][c0]	rxn00640	MAN1PT2	R00883	Fructose and mannose metabolism|Amino sugar and nucleotide sugar metabolism	
rxn01103_c0	>	Cytosol	(Annotated_genome.CDS.1174 or Annotated_genome.CDS.3273)	3-Phospho-D-glyceroyl phosphate phosphohydrolase [c0]		0.08		(1)  cpd00001[c0] + (1)  cpd00203[c0] => (1)  cpd00009[c0] + (1)  cpd00067[c0] + (1)  cpd00169[c0]	(1)  H2O [c0][c0] + (1)  1,3-Bisphospho-D-glycerate [c0][c0] => (1)  Phosphate [c0][c0] + (1)  H+ [c0][c0] + (1)  3-Phosphoglycerate [c0][c0]	rxn01103	ACYP	R01515		
rxn00515_c0	=	Cytosol	Annotated_genome.CDS.282	ATP:IDP phosphotransferase [c0]		0		(1)  cpd00002[c0] + (1)  cpd00090[c0] <=> (1)  cpd00008[c0] + (1)  cpd00068[c0]	(1)  ATP [c0][c0] + (1)  IDP [c0][c0] <=> (1)  ADP [c0][c0] + (1)  ITP [c0][c0]	rxn00515	NDPK9	R00722	Purine metabolism	
rxn08846_c0	=	Cytosol	Annotated_genome.CDS.1138	Lysophospholipase L2 (2-acylglycerophosphoglycerol, n-C14:0) [c0]		-403.51		(1)  cpd00001[c0] + (1)  cpd15344[c0] <=> (1)  cpd00067[c0] + (1)  cpd02090[c0] + (1)  cpd03847[c0]	(1)  H2O [c0][c0] + (1)  2-Acyl-sn-glycero-3-phosphoglycerol tetradecanoyl [c0][c0] <=> (1)  H+ [c0][c0] + (1)  Glycerophosphoglycerol [c0][c0] + (1)  Myristic acid [c0][c0]	rxn08846	LPLIPAL2G140			
rxn05397_c0	=	Cytosol	Annotated_genome.CDS.2407	11-methyl-3-oxo-dodecanoyl-ACP:NADP+ oxidoreductase [c0]		-3.76		(1)  cpd00005[c0] + (1)  cpd00067[c0] + (1)  cpd11533[c0] <=> (1)  cpd00006[c0] + (1)  cpd11534[c0]	(1)  NADPH [c0][c0] + (1)  H+ [c0][c0] + (1)  11-methyl-3-oxo-dodecanoyl-ACP [c0][c0] <=> (1)  NADP [c0][c0] + (1)  11-methyl-3-hydroxy-dodecanoyl-ACP [c0][c0]	rxn05397				
rxn03005_c0	=	Cytosol	Annotated_genome.CDS.286	R04326 [c0]		-7.29		(2)  cpd00067[c0] + (1)  cpd00087[c0] + (1)  cpd02678[c0] <=> (1)  cpd00001[c0] + (1)  cpd00347[c0] + (1)  cpd02394[c0]	(2)  H+ [c0][c0] + (1)  Tetrahydrofolate [c0][c0] + (1)  N-Formyl-GAR [c0][c0] <=> (1)  H2O [c0][c0] + (1)  5-10-Methenyltetrahydrofolate [c0][c0] + (1)  GAR [c0][c0]	rxn03005		R04326	One carbon pool by folate	
rxn03437_c0	>	Cytosol	Annotated_genome.CDS.4381	(R)-2,3-Dihydroxy-3-methylpentanoate hydro-lyase [c0]		-6.75		(1)  cpd02535[c0] => (1)  cpd00001[c0] + (1)  cpd00508[c0]	(1)  2,3-Dihydroxy-3-methylvalerate [c0][c0] => (1)  H2O [c0][c0] + (1)  3MOP [c0][c0]	rxn03437	DHAD2	R05070	Valine, leucine and isoleucine biosynthesis	
rxn01353_c0	=	Cytosol	Annotated_genome.CDS.282	ATP:dGDP phosphotransferase [c0]		0		(1)  cpd00002[c0] + (1)  cpd00295[c0] <=> (1)  cpd00008[c0] + (1)  cpd00241[c0]	(1)  ATP [c0][c0] + (1)  dGDP [c0][c0] <=> (1)  ADP [c0][c0] + (1)  dGTP [c0][c0]	rxn01353	NDPK5	R01857	Purine metabolism	Biosynthesis|DENOVOPURINE2-PWY|Nucleotide-Biosynthesis|PRPP-PWY|PUR-NUC-SYN|Purine-Nucleotide-De-Novo-Biosynthesis
rxn10235_c0	>	Cytosol	Annotated_genome.CDS.3577	isopentadecanoyl-phosphatidylserine decarboxylase [c0]		7.45		(2)  cpd00067[c0] + (1)  cpd15692[c0] => (1)  cpd00011[c0] + (1)  cpd15698[c0]	(2)  H+ [c0][c0] + (1)  Diisopentadecanoylphosphatidylserine [c0][c0] => (1)  CO2 [c0][c0] + (1)  Diisopentadecanoylphosphatidylethanolamine [c0][c0]	rxn10235				
