pi_flux(mmol/gdw/h),Growth Rate(h-1),pi_rate(g/l/h)
0.01003,0.031536624,0.02308979
0.01002,0.031505182,0.023066769
0.01001,0.031473739,0.023043749
0.01,0.031442297,0.023020728
0.00999,0.031410855,0.022997707
0.00998,0.031379412,0.022974687
0.00997,0.03134797,0.022951666
0.00996,0.031316528,0.022928645
0.00995,0.031285086,0.022905624
0.00994,0.031253643,0.022882604
0.00993,0.031222201,0.022859583
0.00992,0.031190759,0.022836562
0.00991,0.031159316,0.022813541
0.0099,0.031127874,0.022790521
0.00989,0.031096432,0.0227675
0.00988,0.031064989,0.022744479
0.00987,0.031033547,0.022721459
0.00986,0.031002105,0.022698438
0.00985,0.030970663,0.022675417
0.00984,0.03093922,0.022652396
0.00983,0.030907778,0.022629376
0.00982,0.030876336,0.022606355
0.00981,0.030844893,0.022583334
0.0098,0.030813451,0.022560313
0.00979,0.030782009,0.022537293
0.00978,0.030750566,0.022514272
0.00977,0.030719124,0.022491251
0.00976,0.030687682,0.022468231
0.00975,0.03065624,0.02244521
0.00974,0.030624797,0.022422189
0.00973,0.030593355,0.022399168
0.00972,0.030561913,0.022376148
0.00971,0.03053047,0.022353127
0.0097,0.030499028,0.022330106
0.00969,0.030467586,0.022307085
0.00968,0.030436143,0.022284065
0.00967,0.030404701,0.022261044
0.00966,0.030373259,0.022238023
0.00965,0.030341817,0.022215003
0.00964,0.030310374,0.022191982
0.00963,0.030278932,0.022168961
0.00962,0.03024749,0.02214594
0.00961,0.030216047,0.02212292
0.0096,0.030184605,0.022099899
0.00959,0.030153163,0.022076878
0.00958,0.030121721,0.022053857
0.00957,0.030090278,0.022030837
0.00956,0.030058836,0.022007816
0.00955,0.030027394,0.021984795
0.00954,0.029995951,0.021961775
0.00953,0.029964509,0.021938754
0.00952,0.029933067,0.021915733
0.00951,0.029901624,0.021892712
0.0095,0.029870182,0.021869692
0.00949,0.02983874,0.021846671
0.00948,0.029807298,0.02182365
0.00947,0.029775855,0.021800629
0.00946,0.029744413,0.021777609
0.00945,0.029712971,0.021754588
0.00944,0.029681528,0.021731567
0.00943,0.029650086,0.021708547
0.00942,0.029618644,0.021685526
0.00941,0.029587201,0.021662505
0.0094,0.029555759,0.021639484
0.00939,0.029524317,0.021616464
0.00938,0.029492875,0.021593443
0.00937,0.029461432,0.021570422
0.00936,0.02942999,0.021547401
0.00935,0.029398548,0.021524381
0.00934,0.029367105,0.02150136
0.00933,0.029335663,0.021478339
0.00932,0.029304221,0.021455318
0.00931,0.029272778,0.021432298
0.0093,0.029241336,0.021409277
0.00929,0.029209894,0.021386256
0.00928,0.029178452,0.021363236
0.00927,0.029147009,0.021340215
0.00926,0.029115567,0.021317194
0.00925,0.029084125,0.021294173
0.00924,0.029052682,0.021271153
0.00923,0.02902124,0.021248132
0.00922,0.028989798,0.021225111
0.00921,0.028958356,0.02120209
0.0092,0.028926913,0.02117907
0.00919,0.028895471,0.021156049
0.00918,0.028864029,0.021133028
0.00917,0.028832586,0.021110008
0.00916,0.028801144,0.021086987
0.00915,0.028769702,0.021063966
0.00914,0.028738259,0.021040945
0.00913,0.028706817,0.021017925
0.00912,0.028675375,0.020994904
0.00911,0.028643933,0.020971883
0.0091,0.02861249,0.020948862
0.00909,0.028581048,0.020925842
0.00908,0.028549606,0.020902821
0.00907,0.028518163,0.0208798
0.00906,0.028486721,0.02085678
0.00905,0.028455279,0.020833759
0.00904,0.028423836,0.020810738
0.00903,0.028392394,0.020787717
0.00902,0.028360952,0.020764697
0.00901,0.02832951,0.020741676
0.009,0.028298067,0.020718655
0.00899,0.028266625,0.020695634
0.00898,0.028235183,0.020672614
0.00897,0.02820374,0.020649593
0.00896,0.028172298,0.020626572
0.00895,0.028140856,0.020603552
0.00894,0.028109414,0.020580531
0.00893,0.028077971,0.02055751
0.00892,0.028046529,0.020534489
0.00891,0.028015087,0.020511469
0.0089,0.027983644,0.020488448
0.00889,0.027952202,0.020465427
0.00888,0.02792076,0.020442406
0.00887,0.027889317,0.020419386
0.00886,0.027857875,0.020396365
0.00885,0.027826433,0.020373344
0.00884,0.027794991,0.020350324
0.00883,0.027763548,0.020327303
0.00882,0.027732106,0.020304282
0.00881,0.027700664,0.020281261
0.0088,0.027669221,0.020258241
0.00879,0.027637779,0.02023522
0.00878,0.027606337,0.020212199
0.00877,0.027574894,0.020189178
0.00876,0.027543452,0.020166158
0.00875,0.02751201,0.020143137
0.00874,0.027480568,0.020120116
0.00873,0.027449125,0.020097096
0.00872,0.027417683,0.020074075
0.00871,0.027386241,0.020051054
0.0087,0.027354798,0.020028033
0.00869,0.027323356,0.020005013
0.00868,0.027291914,0.019981992
0.00867,0.027260471,0.019958971
0.00866,0.027229029,0.01993595
0.00865,0.027197587,0.01991293
0.00864,0.027166145,0.019889909
0.00863,0.027134702,0.019866888
0.00862,0.02710326,0.019843868
0.00861,0.027071818,0.019820847
0.0086,0.027040375,0.019797826
0.00859,0.027008933,0.019774805
0.00858,0.026977491,0.019751785
0.00857,0.026946049,0.019728764
0.00856,0.026914606,0.019705743
0.00855,0.026883164,0.019682722
0.00854,0.026851722,0.019659702
0.00853,0.026820279,0.019636681
0.00852,0.026788837,0.01961366
0.00851,0.026757395,0.01959064
0.0085,0.026725952,0.019567619
0.00849,0.02669451,0.019544598
0.00848,0.026663068,0.019521577
0.00847,0.026631626,0.019498557
0.00846,0.026600183,0.019475536
0.00845,0.026568741,0.019452515
0.00844,0.026537299,0.019429494
0.00843,0.026505856,0.019406474
0.00842,0.026474414,0.019383453
0.00841,0.026442972,0.019360432
0.0084,0.026411529,0.019337412
0.00839,0.026380087,0.019314391
0.00838,0.026348645,0.01929137
0.00837,0.026317203,0.019268349
0.00836,0.02628576,0.019245329
0.00835,0.026254318,0.019222308
0.00834,0.026222876,0.019199287
0.00833,0.026191433,0.019176266
0.00832,0.026159991,0.019153246
0.00831,0.026128549,0.019130225
0.0083,0.026097107,0.019107204
0.00829,0.026065664,0.019084184
0.00828,0.026034222,0.019061163
0.00827,0.02600278,0.019038142
0.00826,0.025971337,0.019015121
0.00825,0.025939895,0.018992101
0.00824,0.025908453,0.01896908
0.00823,0.02587701,0.018946059
0.00822,0.025845568,0.018923038
0.00821,0.025814126,0.018900018
0.0082,0.025782684,0.018876997
0.00819,0.025751241,0.018853976
0.00818,0.025719799,0.018830956
0.00817,0.025688357,0.018807935
0.00816,0.025656914,0.018784914
0.00815,0.025625472,0.018761893
0.00814,0.02559403,0.018738873
0.00813,0.025562587,0.018715852
0.00812,0.025531145,0.018692831
0.00811,0.025499703,0.01866981
0.0081,0.025468261,0.01864679
0.00809,0.025436818,0.018623769
0.00808,0.025405376,0.018600748
0.00807,0.025373934,0.018577727
0.00806,0.025342491,0.018554707
0.00805,0.025311049,0.018531686
0.00804,0.025279607,0.018508665
0.00803,0.025248164,0.018485645
0.00802,0.025216722,0.018462624
0.00801,0.02518528,0.018439603
0.008,0.025153838,0.018416582
0.00799,0.025122395,0.018393562
0.00798,0.025090953,0.018370541
0.00797,0.025059511,0.01834752
0.00796,0.025028068,0.018324499
0.00795,0.024996626,0.018301479
0.00794,0.024965184,0.018278458
0.00793,0.024933742,0.018255437
0.00792,0.024902299,0.018232417
0.00791,0.024870857,0.018209396
0.0079,0.024839415,0.018186375
0.00789,0.024807972,0.018163354
0.00788,0.02477653,0.018140334
